Requests,Throughput,Mean,stdDev,99per,
56462,940.159131649004,4.52365755659036,5.08540115068564,19.8955535888672,4
84693,470.422646904503,2.69815452310569,4.020318721958,18.7969207763672,28
112923,1882.06979186628,3.14876355053979,4.7800658369692,19.8955535888672,53
141154,2352.81798715108,3.12659687327214,4.34665241749228,20.0176239013672,77
169385,2823.25454465492,3.28167807954112,4.4943424085864,20.7500457763672,102
197616,3293.58343803353,3.32999505591669,4.25753184297461,19.4072723388672,126
225847,3764.1005384589,3.57240392645683,4.80287679577925,21.2383270263672,151
253177,4219.59964788917,3.51212791974791,4.72183374441119,21.1162567138672,175
279522,4658.68342589306,3.7643690550987,4.64223368819247,20.8702087402344,35
305933,5098.85977791021,3.43477514561006,4.59101569998976,21.2383270263672,163
333185,5553.44340134362,3.36197472022609,4.14438746712247,18.9189910888672,61
359972,5999.51752490453,3.61756903792628,4.04127797039806,18.6748504638672,27
386334,6438.27401343911,3.19726321989331,3.8683289238608,19.0410614013672,23
413526,6892.73558141842,3.3723381415084,4.4511669875305,20.2598571777344,66
440938,7348.46066373268,3.54304762980292,4.65932093861583,21.2383270263672,58
467852,7797.51353722864,3.69437504258267,4.59283566985432,20.2617645263672,25
495219,8253.61929042158,3.19903207111878,4.48431591009369,20.7500457763672,62
523016,8716.90096985987,3.3841214217106,4.45945131738933,20.3838348388672,60
549430,9157.12965822977,3.58854827157694,4.6148267246147,20.5059051513672,29
574554,9575.86662861559,2.74150322720506,3.58016593331927,17.8203582763672,26
602033,10033.8466109714,3.1515316175584,4.28749381083487,19.4072723388672,22
627103,10451.6900614015,3.65858449554413,5.40389619958249,25.2666473388672,125
651717,10861.9168824736,2.95239776564214,3.97380743951008,19.5293426513672,73
679484,11324.2858772479,3.59063442486296,4.77176849303434,22.5811004638672,82
705943,11766.0969929565,3.20320282693963,4.38818936501086,21.7266082763672,24
734003,12230.0702737234,1.55641508055927,1.94764459880276,11.2285614013672,127
762234,12707.2389068732,3.45574946793844,4.31589483705597,20.6279754638672,170
790465,13174.3676089709,3.82882026644528,5.19303022864221,22.8252410888672,36
818696,13644.8801885802,3.37049103134527,4.77489013871467,20.7500457763672,143
846927,14115.4029166577,2.88568720809387,3.73135210981213,17.6982879638672,86
875158,14585.9184634029,3.96796111611934,5.00631239875151,23.4355926513672,128
903389,15056.4307008626,3.45208529926741,4.41650924038495,19.8955535888672,64
931620,15526.9511105741,3.47457783858381,4.73535564543539,21.2383270263672,165
959851,15997.4659674163,3.38937541105927,4.31625837380839,20.8721160888672,155
988082,16467.9818282621,3.21900041850517,4.26396260138772,18.7969207763672,75
1016313,16938.5002019227,3.82713067080186,4.86177076551784,22.2148895263672,152
1044544,17409.0190878696,3.31363946200473,3.99976137137144,19.4072723388672,136
1072775,17879.5297099431,3.29965111266067,4.52012913946823,18.5508728027344,76
1101006,18350.0512395814,3.80521308585707,4.91361591871766,22.2148895263672,161
1129237,18820.5693589707,3.09707968872888,4.16903289244448,19.1631317138672,183
1157468,19291.0847131392,3.20740323074988,4.39026418426359,19.7734832763672,95
1185699,19761.5945032135,3.54669698007361,4.85256839664661,21.3603973388672,87
1213930,20232.1208472184,3.66464120110131,4.09153816108093,16.2334442138672,5
1242161,20702.6331688036,3.15306639427257,4.86255750205283,20.6279754638672,186
1270392,21172.7120887819,3.22010134464918,4.10872967813473,17.9405212402344,13
1298462,21641.4322289317,3.06072683575572,4.05122283522108,19.8955535888672,191
1325617,22093.5599944808,3.09696401166284,4.26101323444912,19.0410614013672,54
1352993,22549.8309139989,3.12260328586081,3.96647303409671,15.0127410888672,7
1380348,23005.4573790667,3.17788577126037,4.45196612555563,20.9941864013672,78
1407217,23453.8755226115,3.61647150337179,4.7080995966048,19.6514129638672,59
1434753,23910.8701425138,3.46059244493635,4.10317779518813,19.8955535888672,174
1462216,24371.874655271,3.43155254017223,4.57561371276908,19.5293426513672,158
1489145,24819.035601639,3.33106786918236,4.15639526005237,18.6748504638672,101
1516413,25268.0493486447,3.13047126746517,4.27027855133593,18.6748504638672,41
1544089,25737.9209800675,3.20121951219512,4.41641789787978,19.5293426513672,89
1571228,26189.5214339421,3.29401993585304,4.08343408907704,19.4072723388672,116
1598315,26640.2975799539,4.14880600492429,4.77529174568814,22.0928192138672,20
1626036,27100.5638917476,3.13543838136545,3.98058477704734,17.8203582763672,19
1653396,27554.7091013109,3.26869788721488,4.14022796098339,18.9189910888672,80
1680528,28010.6134545424,3.32888310743758,4.53267957445165,21.9707489013672,180
1708215,28464.0083619048,3.39489339313954,4.25813392103404,20.7500457763672,49
1735131,28923.1695369666,3.05654054397712,3.39005913634593,15.3179168701172,6
1759894,29331.5150349251,3.08229064140355,4.76442556930172,19.8955535888672,50
1785441,29757.3001182449,2.97755664006172,4.00703451756145,18.1865692138672,8
1811724,30195.3474803039,3.1691475721593,4.01399410577363,19.1631317138672,85
1837418,30623.581021277,3.25763647387201,4.55219890648845,20.8721160888672,18
1863414,31056.850740453,3.29267459569445,4.56309892104692,20.5059051513672,12
1891645,31527.37318115,3.50346022656267,4.45937920407177,20.7500457763672,178
1919705,31995.0295192286,3.21560898425319,4.10462744037339,20.1396942138672,14
1947936,32465.550516026,3.17705496351269,4.09934895505246,18.6748504638672,48
1976167,32929.4866115362,3.36762963680392,4.45758815971314,20.7481384277344,9
2004398,33413.2543469723,3.55737815944224,17.8598736943096,18.3086395263672,74
2032629,33874.8515319189,3.57407460468262,4.72857073041619,21.2383270263672,181
2060860,34349.8961202034,3.31430534356267,4.47108966151629,20.6279754638672,47
2089091,34818.1305662369,3.21667965673487,4.14431778366448,18.6748504638672,119
2117322,35288.6631811076,3.16661004917785,4.11178641807721,18.7969207763672,100
2145553,35759.1659561959,3.82195804076124,5.22523582188,23.0693817138672,196
2173784,36225.7001482455,3.24821776197895,4.4089386435203,17.9424285888672,118
2202014,36704.1959013779,3.25495949291482,4.02922923905368,18.9189910888672,90
2230245,37170.6784591341,3.73991401123488,5.15998175521959,22.7031707763672,117
2258476,37641.2118162462,3.06185741640084,4.23434830728148,16.9658660888672,10
2286707,38111.7084887812,3.16517651429453,4.04370064897679,17.0879364013672,11
2314938,38573.243678388,3.25684809058958,4.56168083820191,20.0176239013672,42
